year,CODEKHUM,KHUM_NAME,HISTO_NODATA,HISTO_10,HISTO_11,HISTO_12,HISTO_20,HISTO_30,HISTO_40,HISTO_50,HISTO_60,HISTO_61,HISTO_62,HISTO_70,HISTO_80,HISTO_90,HISTO_100,HISTO_110,HISTO_120,HISTO_121,HISTO_130,HISTO_150,HISTO_160,HISTO_170,HISTO_180,HISTO_190,HISTO_200,HISTO_201,HISTO_202,HISTO_210
2010,130304,Rumdaoh Srae,0,387,11,0,54,46,60,15,1922,0,0,0,0,0,1173,0,29,18,2,0,0,0,0,0,0,0,0,0
2010,130305,Yeang,0,374,8,0,14,77,431,858,2853,0,0,5,0,0,3087,0,38,186,0,0,0,0,2,0,0,0,0,0
2010,160802,Ta Veaeng Kraom,0,42,0,0,30,114,346,1851,2,0,0,0,0,0,326,0,20,326,0,0,0,0,0,0,0,0,0,51
2010,160905,Kaoh Pang,0,11,0,0,15,24,155,1962,9,0,0,20,0,0,202,0,24,285,10,0,0,0,0,0,0,0,0,11
2010,160801,Ta Veaeng Leu,4,26,0,0,24,286,331,2747,87,0,0,87,0,0,1333,0,89,186,0,0,0,0,0,0,0,0,0,45
2010,160910,Veun Sai,0,148,0,0,32,48,175,960,90,0,0,0,0,0,473,0,25,718,0,0,0,0,0,0,0,0,0,19
2010,160907,Kok Lak,0,69,0,0,8,29,97,1755,100,0,0,6,0,0,212,0,6,241,0,0,0,0,0,0,0,0,0,30
2010,220404,Samraong,0,963,11,0,15,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,220506,Trapeang Prasat,0,1048,637,0,2,118,403,1817,901,0,0,2,0,0,625,0,37,233,0,0,0,0,0,0,0,0,0,0
2010,220402,Bos Sbov,0,1020,5,0,2,18,50,16,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,130303,Pring Thum,0,318,18,0,36,104,155,1549,2836,0,0,0,0,0,4052,0,100,80,0,0,0,0,0,0,0,0,0,0
2010,220202,Beng,0,2835,6,0,1,96,82,20,537,0,0,0,0,0,49,0,0,25,0,0,0,0,0,0,0,0,0,0
2010,130207,Kampong Sralau Muoy,40,175,0,0,7,160,566,591,2702,0,0,0,0,0,2807,0,93,73,7,0,0,0,3,0,0,0,0,39
2010,190302,Sekong,0,429,2,0,15,133,280,3693,750,0,0,44,0,0,3376,0,1,197,0,0,0,0,0,0,0,0,0,93
2010,160103,Nhang,8,63,5,0,2,166,320,2169,54,0,0,2,0,0,473,0,59,174,0,0,0,0,0,0,0,0,0,22
2010,220302,Chong Kal,0,1254,35,0,38,37,352,396,534,0,0,6,0,0,538,0,13,137,17,0,0,0,11,0,0,0,0,35
2010,220304,Pongro,0,3342,10,0,11,58,184,51,1498,0,0,0,0,0,153,0,1,0,0,0,0,0,0,0,0,0,0,0
2010,130406,Srayang,0,176,21,0,4,188,181,1103,8189,2,0,0,0,0,2850,0,215,39,1,0,0,0,0,0,0,0,0,0
2010,220304,Pongro,0,1143,4,0,5,74,40,12,256,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,190304,Srae Sambour,8,548,8,0,57,104,102,2328,1616,0,0,0,0,0,3037,0,18,198,21,0,18,0,2,0,0,0,0,124
2010,160906,Kaoh Peak,0,32,0,0,33,29,84,973,6,0,0,0,0,0,364,0,7,225,0,0,0,0,0,0,0,0,0,64
2010,130203,Sangke Muoy,0,156,0,0,13,58,109,239,1823,0,0,1,0,0,1247,0,128,63,0,0,0,0,0,0,0,0,0,0
2010,130205,Mlu Prey Muoy,0,81,4,0,5,91,9,1665,1146,0,0,0,0,0,783,0,73,15,0,0,0,0,0,0,0,0,0,0
2010,10702,Kouk Romiet,18,2412,176,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2010,10706,Kumru,0,754,26,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,130208,Kampong Sralau Pir,8,34,0,0,12,33,8,128,665,5,2,1,0,0,1347,0,7,12,0,0,0,0,0,0,0,0,0,56
2010,130202,Chhep Pir,0,268,0,0,0,55,291,226,1777,0,0,40,0,0,3284,0,119,39,1,0,0,0,0,0,0,0,0,0
2010,160104,Ta Lav,0,95,39,0,19,226,231,931,94,0,0,6,0,0,467,0,138,28,3,0,0,0,0,0,0,0,0,69
2010,10704,Thma Puok,0,1371,36,0,10,38,44,1,40,0,0,0,0,0,0,0,0,8,3,0,0,0,0,2,0,0,0,0
2010,10301,Nam Tau,0,1853,43,0,53,16,10,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
2010,160908,Pa Kalan,0,66,0,0,9,66,226,511,112,0,0,39,0,0,1115,0,2,35,0,0,5,0,0,0,0,0,0,32
2010,160904,Ka Choun,0,66,0,0,15,39,59,382,74,0,0,0,0,0,241,0,0,49,0,0,0,0,0,0,0,0,0,30
2010,160102,Mai Hie,10,2,0,0,26,146,200,939,29,0,0,0,0,1,730,0,85,145,0,0,0,0,8,0,0,0,0,56
2010,130402,Kuleaen Cheung,0,305,0,0,11,36,529,61,2057,0,0,20,0,0,934,0,26,1,0,0,0,0,0,0,0,0,0,0
2010,160901,Ban Pong,0,121,0,0,7,24,126,109,42,0,0,1,0,0,309,0,2,17,7,0,0,0,0,0,0,0,0,19
2010,160602,Chan,0,0,0,0,0,46,49,449,0,0,0,0,0,0,95,0,6,610,0,0,0,0,0,0,0,0,0,0
2010,220301,Cheung Tien,0,1044,22,0,3,0,2,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2010,171206,Slaeng Spean,0,1950,46,0,85,65,69,280,55,0,0,0,0,0,40,0,13,17,0,0,0,0,0,0,0,0,0,15
2010,10302,Paoy Char,0,1670,53,0,138,2,80,53,417,0,0,51,0,0,34,78,0,0,66,0,0,11,43,0,0,0,0,178
2010,171405,Varin,0,616,3,0,6,61,129,1189,10,0,0,0,0,0,254,0,14,78,0,0,0,0,0,0,0,0,0,0
2010,171402,Lvea Krang,0,322,26,0,9,124,100,875,0,0,0,0,0,0,57,0,25,17,0,0,0,0,0,0,0,0,0,0
2010,171403,Srae Nouy,0,851,418,0,6,340,422,2571,807,0,0,0,0,0,283,0,131,74,0,0,0,0,0,0,0,0,0,2
2010,160909,Phnum Kok,0,114,77,0,22,133,237,518,207,0,0,19,0,0,706,0,1,82,43,0,3,0,0,0,0,0,0,43
2010,171302,Kantuot,0,132,23,0,1,145,185,737,6543,0,0,17,0,0,2075,0,59,35,0,0,0,0,0,0,0,0,0,0
2010,10705,Kouk Kakthen,0,1332,6,0,65,57,5,4,42,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2010,10303,Ponley,0,1158,54,0,87,4,2,36,47,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,7
2010,130403,Thmei,0,428,7,0,8,160,260,86,1040,0,0,2,0,0,1201,0,61,5,0,0,0,0,0,0,0,0,0,0
2010,10703,Phum Thmei,0,730,4,0,21,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,10804,Svay Chek,2,2161,264,0,10,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,10807,Treas,0,1729,184,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,160607,L'ak,0,7,7,0,0,179,649,144,12,0,0,0,0,0,199,0,14,184,0,0,0,0,0,0,0,0,0,0
2010,190508,Preah Rumkel,0,274,9,0,130,106,49,73,933,7,0,4,0,0,2208,0,75,15,1,0,0,6,15,0,0,0,0,230
2010,130703,Chhean Mukh,0,222,6,0,1,83,64,335,258,0,0,0,0,0,643,0,13,16,0,0,11,0,0,0,0,0,0,0
2010,130704,Pou,0,105,1,0,2,79,55,384,373,0,0,0,0,0,422,0,9,24,0,0,0,0,0,0,0,0,0,0
2010,130705,Prame,0,87,59,0,3,47,65,1230,911,0,0,0,0,0,575,0,3,2,0,0,0,0,0,0,0,0,0,0
2010,190507,Ou Svay,0,83,0,0,72,52,40,3,619,0,0,0,0,0,236,2,0,1,0,0,0,20,31,0,0,0,0,213
2010,190404,Sameaki,0,512,8,0,123,114,125,227,3341,0,0,5,0,0,1132,0,15,62,2,0,0,0,3,0,0,0,0,305
2010,160101,Malik,0,37,1,0,19,267,529,68,51,0,0,0,0,0,296,0,113,130,0,0,0,0,0,0,0,0,0,24
2010,160604,Kalai,0,0,0,0,0,34,92,242,3,0,0,0,0,0,148,0,3,197,0,0,0,0,0,0,0,0,0,0
2010,171201,Chrouy Neang Nguon,0,771,3,0,40,32,0,33,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,3
2010,160605,Ou Chum,0,17,0,0,3,186,488,82,0,0,0,0,0,0,155,0,24,434,0,0,0,0,0,0,0,0,0,8
2010,171202,Klang Hay,0,367,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,171401,Prasat,0,693,23,0,10,46,72,829,4,0,0,0,0,0,37,0,92,147,0,0,0,0,0,0,0,0,0,0
2010,160606,Sameakki,0,2,7,0,0,64,304,115,0,0,0,0,0,0,204,0,28,89,8,0,0,0,0,0,0,0,0,0
2010,190107,Ta Lat,0,139,0,0,71,117,137,2302,947,0,0,0,0,0,2121,0,10,51,0,0,5,4,8,0,0,0,0,206
2010,160903,Hat Pak,0,62,0,0,40,15,182,118,120,0,0,7,0,0,1080,0,0,29,0,0,2,0,0,0,0,0,0,55
2010,171205,Prei,0,431,7,0,98,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,190505,Anlong Chrey,0,4,16,0,0,182,76,3691,606,0,0,11,0,0,2245,0,54,361,0,0,0,0,1,0,0,0,0,0
2010,10801,Phkoam,0,986,10,0,34,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,130201,Chhep Muoy,0,116,3,0,0,37,17,1184,1573,0,0,0,0,0,1383,0,70,58,0,0,0,0,0,0,0,0,0,0
2010,190509,Sam'ang,0,39,78,0,0,183,163,857,1338,0,0,2,0,0,1344,0,65,259,0,0,0,0,0,0,0,0,0,0
2010,170106,Srae Khvav,0,1169,3,0,19,6,0,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,160706,Saom Thum,0,16,1,0,0,180,481,107,51,0,0,4,0,0,284,0,17,58,0,0,0,0,0,0,0,0,0,0
2010,160301,Kak,0,17,0,0,0,205,467,25,0,0,0,0,0,0,100,0,66,243,0,0,0,0,0,0,0,0,0,0
2010,160302,Ke Chong,0,14,0,0,0,146,589,29,6,0,0,0,0,0,103,0,97,234,0,0,0,0,0,0,0,0,0,0
2010,10803,Sla Kram,1,1781,69,0,10,104,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,10808,Roluos,0,305,17,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2010,190105,Sdau,0,82,5,0,52,25,51,207,1577,0,0,0,0,0,1103,0,76,56,2,0,0,0,15,0,0,0,3,281
2010,190104,Samkhuoy,0,224,13,0,27,113,13,277,982,0,0,0,0,0,586,0,23,24,15,0,0,0,4,0,0,0,0,72
2010,190106,Srae Kor,0,75,2,0,68,103,22,702,1729,0,1,0,0,0,1655,0,125,24,0,0,0,0,8,0,0,0,0,131
2010,130702,Pal Hal,0,510,9,0,20,612,163,668,805,0,0,0,0,0,239,0,19,36,0,0,0,0,0,0,0,0,0,0
2010,10306,Phnum Dei,0,578,108,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,130701,Kampong Pranak,0,123,1,0,21,39,5,0,31,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,130401,Kuleaen Tboung,0,334,23,0,6,20,6,41,432,0,0,0,0,0,15,0,8,0,0,0,0,0,0,0,0,0,0,0
2010,10509,Ou Bei Choan,3,988,21,0,8,11,2,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2010,171404,Svay sa,0,722,6,0,5,83,8,180,0,0,0,0,0,0,29,0,5,6,0,0,0,0,0,0,0,0,0,0
2010,10806,Ta Phou,0,917,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,160705,Sesant,2,19,0,0,36,48,181,13,25,0,0,4,0,0,147,0,3,0,0,0,0,0,0,0,0,0,0,30
2010,160404,Toen,0,35,4,0,8,345,504,872,421,0,0,21,0,0,1171,0,37,85,0,0,0,0,0,0,0,0,0,1
2010,171203,Tram Sasar,0,979,0,0,46,6,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,160601,Cha Ung,0,6,0,0,0,116,313,3,55,0,0,3,0,0,100,0,0,57,0,0,0,0,0,0,0,0,0,0
2010,171204,Moung,0,916,0,0,24,26,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,10802,Sarongk,0,545,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,160403,Ta Ang,0,28,4,8,1,327,607,34,88,0,0,21,0,0,687,0,11,81,0,0,0,0,0,0,0,0,0,0
2010,10805,Ta Baen,0,297,13,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,130404,Phnum Penh,0,392,15,0,11,9,0,19,585,0,0,0,0,0,70,0,0,4,0,0,0,0,0,0,0,0,0,0
2010,10305,Srah Chik,0,956,35,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2010,130206,Mlu Prey Pir,0,66,42,0,0,14,10,27,611,0,0,0,0,0,227,0,55,0,0,0,0,0,0,0,0,0,0,0
2010,10304,Spean Sraeng,0,740,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,160603,Aekakpheap,0,2,0,0,0,22,171,0,0,0,0,0,0,0,27,0,0,51,0,0,0,0,0,0,0,0,0,0
2010,190504,Kaoh Snaeng,0,82,1,0,63,35,19,226,603,0,0,0,0,0,302,0,58,67,0,0,0,0,5,0,0,0,0,207
2010,160406,Trapeang Kraham,0,105,0,0,9,54,258,273,1889,0,0,107,0,0,2630,0,4,45,0,0,0,0,3,0,0,0,0,31
2010,160703,Pak Nhai,3,53,12,0,9,377,906,66,110,0,0,1,0,0,777,0,28,68,0,0,0,0,0,4,0,0,0,0
2010,130405,Phnum Tbaeng Pir,0,223,14,0,9,123,16,451,1866,0,0,3,0,0,572,0,32,23,0,0,0,0,0,0,0,0,0,0
2010,160306,Ting Chak,0,6,0,0,0,39,397,0,0,0,0,0,0,0,52,0,2,51,0,0,0,0,0,0,0,0,0,0
2010,171305,Ta Siem,0,336,0,0,5,157,92,701,2286,0,0,0,0,0,992,0,50,7,0,0,0,0,0,0,0,0,0,0
2010,160702,Lum Choar,0,35,4,0,2,170,423,37,1,0,0,0,0,0,101,0,27,112,0,0,0,0,0,0,0,0,0,0
2010,170102,Doun  Peaeng,0,713,0,0,3,14,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,170302,Khun Ream,0,622,37,0,0,165,46,1127,67,0,0,0,0,0,188,0,105,114,0,0,0,0,0,0,0,0,0,0
2010,160203,Yeak Laom,0,28,1,0,9,106,308,0,0,0,0,0,0,0,19,0,13,176,0,0,0,0,0,2,0,0,0,5
2010,10507,Soengh,0,997,35,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
2010,130204,Sangke Pir,0,44,0,0,0,22,0,0,605,0,0,0,0,0,50,0,2,0,0,0,0,0,0,0,0,0,0,0
2010,160202,Labansiek,0,36,0,0,6,19,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,5
2010,170103,Kouk Doung,0,1130,34,0,17,54,24,385,0,0,0,0,0,0,10,0,8,18,0,0,0,0,0,0,0,0,0,0
2010,170607,Saen Sokh,0,731,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,10407,Tean Kam,0,615,43,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,160303,Laming,0,16,0,0,0,54,382,0,0,0,0,0,0,0,78,0,3,100,0,0,0,0,0,0,0,0,0,0
2010,130102,Tasu,0,180,14,0,0,98,42,2,783,0,0,0,0,0,553,0,2,0,0,0,0,0,0,0,0,0,0,0
2010,170104,Koul,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,160201,Kachanh,0,45,0,3,0,253,784,10,7,0,0,0,0,0,162,0,14,267,0,0,0,0,0,1,0,0,0,0
2010,10508,Paoy Paet,7,970,22,0,6,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0
2010,10601,Bos Sbov,0,1255,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,190103,Phluk,0,112,44,0,30,271,36,281,2156,0,0,0,0,0,920,0,102,0,6,0,1,1,26,0,0,0,0,165
2010,170604,Krouch Kor,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,10504,Nimitt,0,1930,26,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2010,10402,Chob Veari,0,824,141,0,8,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,170107,Ta Saom,0,559,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,10501,Changha,0,765,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2010,10604,Mkak,0,823,6,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010,130603,Phnum Tbaeng Muoy,0,151,16,0,2,304,155,243,641,0,0,0,0,0,138,0,17,9,2,0,0,0,0,0,0,0,0,0
2010,170101,Char Chhuk,0,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,130706,Preah Khleang,0,41,19,0,0,116,14,29,789,0,0,0,0,0,408,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,160707,Ya Tung,0,187,6,0,3,320,1260,218,1400,0,0,34,0,0,1632,0,32,45,0,0,0,0,0,0,0,0,0,0
2010,160304,Lung Khung,0,16,2,0,0,56,831,8,17,0,0,0,0,0,222,0,11,231,0,0,0,0,0,0,0,0,0,0
2010,160405,Trapeang Chres,0,80,14,0,1,135,382,77,1040,0,0,121,0,0,1090,0,3,23,0,0,5,0,0,0,0,0,0,26
2010,10506,Souphi,0,918,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,10502,Koub,0,815,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0
2010,160504,La Bang Pir,0,43,0,0,0,95,112,0,45,0,0,0,0,0,46,0,1,45,0,0,0,0,0,0,0,0,0,0
2010,170201,Chob Ta Trav,0,650,15,0,0,112,20,277,0,0,0,0,0,0,0,0,22,3,0,0,0,0,0,0,0,0,0,0
2010,170601,Chonloas Dai,0,829,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,170203,Peak Snaeng,0,1009,46,0,2,82,52,281,0,0,0,0,0,0,5,0,28,29,0,0,0,0,0,0,0,0,0,0
2010,10406,Rohal,0,1338,215,0,154,0,14,0,28,0,0,0,0,0,14,0,0,0,2,0,0,0,3,0,0,0,0,0
2010,160305,Seung,0,27,0,0,0,54,291,0,0,0,0,0,0,0,68,0,18,89,0,0,0,0,0,0,0,0,0,0
2010,130602,Ro'ang,0,523,38,0,5,164,23,151,235,0,0,0,0,0,162,0,12,19,7,0,0,0,0,0,0,0,0,0
2010,130103,Khyang,0,250,0,0,4,96,3,0,692,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,160704,Pate,0,149,0,0,6,47,713,243,1937,0,0,11,0,0,2348,0,6,109,0,0,0,0,0,0,0,0,0,0
2010,170610,Ta an,0,276,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,170608,Snuol,0,839,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,190510,Srae Ruessei,0,41,8,0,0,73,59,199,813,0,0,0,0,0,436,0,34,15,0,0,0,0,6,0,0,0,0,0
2010,160701,Bar Kham,0,33,8,0,0,178,519,118,1267,0,0,12,0,0,1523,0,28,44,0,0,3,0,0,0,0,0,0,8
2010,130104,Chrach,0,282,4,0,12,202,27,266,1398,0,0,2,0,0,1184,0,40,0,0,0,0,0,0,0,0,0,0,0
2010,10408,Tuek Chour,0,694,150,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,1,0,0,0,0
2010,170105,Nokor Pheas,0,609,0,0,7,15,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,10401,Chhnuor Mean Chey,0,447,82,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2010,10602,Kampong Svay,0,420,31,0,21,11,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,14,0,0,0,0
2010,130101,S'ang,0,111,1,0,0,49,0,0,182,0,0,0,0,0,70,0,1,0,0,0,0,0,0,0,0,0,0,0
2010,171303,Khnang Phnum,0,13,164,0,0,80,54,1140,40,0,0,0,0,0,100,0,243,521,0,0,0,0,0,0,0,0,0,0
2010,160503,La Bang Muoy,0,22,0,0,0,151,127,11,108,0,0,29,0,0,111,0,17,23,0,0,0,0,0,0,0,0,0,0
2010,130106,Putrea,0,220,7,0,2,141,42,2,1209,0,0,0,0,0,376,0,6,0,2,0,0,0,0,0,0,0,0,0
2010,10403,Phnum Lieb,0,1856,419,0,39,0,321,3,17,0,0,5,0,0,51,0,0,0,77,0,0,0,90,0,0,0,0,0
2010,130105,Yhmea,0,141,0,0,5,98,23,2000,617,0,0,0,0,0,1188,0,10,18,6,0,0,0,0,0,0,0,0,0
2010,130601,Chamraeun,0,233,12,0,5,53,17,259,768,17,0,0,0,0,168,0,10,0,92,0,0,0,0,0,0,0,0,0
2010,10606,Phniet,0,352,31,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
2010,130604,Sdau,0,139,5,0,0,208,19,429,2722,0,0,0,0,0,926,0,32,3,0,0,0,0,0,0,0,0,0,0
2010,190511,Thala,0,184,2,0,52,84,23,19,462,0,0,0,0,0,154,0,0,1,0,0,0,0,0,0,0,0,0,56
2010,171304,Svay Leu,0,997,35,0,1,289,40,615,1121,0,0,0,0,0,151,0,1,0,0,0,0,0,0,0,0,0,0,0
2010,170605,Roung Kou,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,170703,Kdei Run,0,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,160502,Ka Laeng,0,43,0,0,38,171,407,91,2075,0,0,24,0,0,3015,0,48,68,0,0,5,0,0,0,0,0,0,82
